,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,ratings,beds,bathroom_type,property,room_type
163,The Box House Hotel,Brooklyn,Greenpoint,40.73778,-73.95366,326,1,87,10/13/2023,0.65,30,337,2,4.81,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
164,The Box House Hotel,Brooklyn,Greenpoint,40.73778,-73.95366,326,1,157,11/21/2023,1.12,30,300,16,4.8,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
165,The Box House Hotel,Brooklyn,Greenpoint,40.73778,-73.95366,326,1,45,9/4/2023,0.32,30,332,2,4.91,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
166,Alan,Manhattan,Upper West Side,40.79131,-73.9694,300,30,56,10/14/2023,0.43,1,195,1,4.93,1 bed,1 bath,Rental unit in New York,1 bedroom
167,Edward,Brooklyn,Bedford-Stuyvesant,40.68435,-73.94825,55,30,45,11/12/2023,0.33,4,329,4,4.6,1 bed,1 shared bath,Rental unit in Brooklyn,2 bedrooms
168,Katya,Manhattan,East Village,40.7294,-73.98042,175,30,17,7/13/2023,0.12,1,78,1,5,1 bed,1 bath,Rental unit in New York,1 bedroom
169,Jeruschka,Brooklyn,Windsor Terrace,40.64914966,-73.97888701,107,30,331,11/2/2023,2.33,1,178,25,4.71,1 bed,1 bath,Guest suite in Brooklyn,1 bedroom
170,Tammy,Manhattan,Harlem,40.80752,-73.94778,264,30,8,7/31/2023,0.06,10,336,1,4.67,8 beds,1 bath,Rental unit in New York,2 bedrooms
171,Andre,Brooklyn,Prospect-Lefferts Gardens,40.65914536,-73.95812225,415,30,125,10/29/2023,0.89,1,364,5,4.77,3 beds,1 bath,Rental unit in Brooklyn,1 bedroom
172,Virginia,Manhattan,Upper East Side,40.77298,-73.95813,60,30,5,8/15/2023,0.11,1,199,3,5,1 bed,1 bath,Rental unit in New York,1 bedroom
173,Elizabeth,Brooklyn,Boerum Hill,40.68561,-73.98919,375,30,33,1/1/2023,0.23,3,337,1,4.89,3 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
174,Verena Vogelbacher,Brooklyn,Crown Heights,40.67128,-73.94307,200,30,184,10/30/2023,1.33,3,117,22,4.77,4 beds,1 bath,Home in Brooklyn,3 bedrooms
175,Tammy,Manhattan,Harlem,40.8073,-73.94575,250,30,7,7/14/2023,0.05,10,338,1,4.6,6 beds,1 bath,Rental unit in New York,2 bedrooms
176,Tammy,Manhattan,Harlem,40.80557,-73.94801,250,30,10,7/11/2023,0.07,10,350,1,4.57,3 beds,1 bath,Rental unit in New York,2 bedrooms
177,Omri,Brooklyn,Williamsburg,40.71294,-73.94461,172,30,178,11/9/2023,1.26,1,179,13,4.93,1 bed,1 private bath,Rental unit in Brooklyn,1 bedroom
178,Kimberly,Manhattan,Harlem,40.82295,-73.94433,75,30,29,10/1/2023,0.21,2,354,1,4.26,1 bed,1 bath,Rental unit in New York,1 bedroom
179,Mary,Brooklyn,Bedford-Stuyvesant,40.69533,-73.96058,150,2,97,11/19/2023,0.68,1,186,42,4.87,1 bed,1 shared bath,Condo in Brooklyn,1 bedroom
181,Richard,Queens,Ridgewood,40.70167,-73.90927,74,30,132,9/25/2023,0.92,1,365,20,4.67,2 beds,1 private bath,Rental unit in New York,2 bedrooms
182,Alain,Brooklyn,South Slope,40.66481,-73.97776,180,30,345,11/12/2023,2.54,1,330,47,4.7,3 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
183,Chris,Manhattan,East Village,40.73216,-73.98678,99,30,185,11/10/2023,1.29,1,358,22,4.73,1 bed,1 shared bath,Rental unit in New York,1 bedroom
184,Michael,Manhattan,Harlem,40.80272,-73.95316,110,30,91,11/19/2023,0.67,1,134,14,4.97,1 bed,1 shared bath,Rental unit in New York,1 bedroom
185,Ashraf,Queens,Bayside,40.75537,-73.77159,150,30,32,8/15/2023,1.27,1,363,7,4.75,3 beds,1 bath,Guest suite in Queens,2 bedrooms
186,Candice,Manhattan,Washington Heights,40.83249,-73.94466,204,30,78,9/3/2023,0.56,1,173,20,4.86,1 bed,1 bath,Rental unit in New York,Studio
187,Marcia,Bronx,Co-op City,40.86637,-73.82048,63,30,18,3/30/2023,0.13,1,302,1,4.77,1 bed,1.5 shared baths,Rental unit in Bronx,1 bedroom
188,James,Brooklyn,Williamsburg,40.71923,-73.9582,200,30,286,11/14/2023,2.01,1,365,5,4.82,4 beds,1 bath,Rental unit in Brooklyn,1 bedroom
189,Sara,Manhattan,Upper East Side,40.77534,-73.95106,219,30,162,11/27/2023,1.14,1,305,25,4.8,1 bed,1 bath,Rental unit in New York,1 bedroom
190,Kurt,Manhattan,Washington Heights,40.834026,-73.939507,225,30,117,11/25/2023,1.05,1,365,25,4.94,3 beds,1 private bath,Rental unit in New York,2 bedrooms
191,Orna,Brooklyn,Park Slope,40.67634,-73.97666,350,30,10,7/17/2023,0.63,2,363,5,4.8,1 bed,1 bath,Rental unit in Brooklyn,Studio
192,Robyn,Manhattan,Murray Hill,40.74838,-73.98214,395,30,48,11/18/2023,0.39,1,33,13,4.73,2 beds,2 baths,Rental unit in New York,2 bedrooms
193,David,Brooklyn,Clinton Hill,40.68566,-73.96781,150,30,110,9/18/2023,0.79,1,170,3,4.85,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
194,Terrance,Brooklyn,East New York,40.67321943,-73.88108647,85,30,65,10/1/2023,0.46,1,363,5,4.52,4 beds,1 bath,Home in Brooklyn,1 bedroom
195,Seth,Brooklyn,South Slope,40.66902,-73.98884,105,30,21,12/1/2023,0.15,1,215,1,4.95,2 beds,1 bath,Condo in Brooklyn,2 bedrooms
196,Andrij,Brooklyn,Park Slope,40.66943,-73.98188,433,45,3,8/21/2023,0.06,1,193,1,5,4 beds,2 baths,Townhouse in Brooklyn,4 bedrooms
197,Duane,Brooklyn,Crown Heights,40.66763,-73.95836,232,30,144,10/26/2023,1.01,5,180,33,4.86,3 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
198,Marjorie,Manhattan,Upper West Side,40.7769,-73.97671,300,30,135,11/23/2023,0.96,1,286,16,4.8,2 beds,1 bath,Rental unit in New York,1 bedroom
199,Helen,Brooklyn,Windsor Terrace,40.66053,-73.98246,189,30,214,11/1/2023,1.53,1,270,31,4.8,1 bed,1 private bath,Home in Brooklyn,1 bedroom
200,Waldemar,Brooklyn,Clinton Hill,40.68818,-73.96383,100,30,478,11/6/2023,3.39,2,356,26,4.52,1 bed,1 private bath,Rental unit in Brooklyn,1 bedroom
201,Laura,Manhattan,Inwood,40.86909,-73.9239,175,30,166,5/29/2023,1.23,1,307,8,4.6,1 bed,1 bath,Rental unit in New York,1 bedroom
202,Gary,Manhattan,West Village,40.73491,-74.0058,199,30,445,11/27/2023,3.2,2,150,53,4.67,1 bed,1 bath,Home in New York,1 bedroom
203,Todd,Manhattan,Chinatown,40.71502,-73.9917,134,30,24,9/25/2023,0.17,1,216,1,4.83,1 bed,1 bath,Loft in New York,1 bedroom
204,Penny And Danny,Brooklyn,Greenpoint,40.72617,-73.95264,125,30,3,6/12/2023,0.1,2,365,1,4.67,3 beds,1 shared bath,Rental unit in Brooklyn,2 bedrooms
205,Patrick,Manhattan,Hell's Kitchen,40.76269,-73.99361,115,30,177,10/6/2023,1.62,3,267,20,4.76,1 bed,1 bath,Rental unit in New York,1 bedroom
206,Lorena,Manhattan,East Village,40.72899,-73.98975,290,30,230,11/4/2023,1.64,1,149,23,4.27,2 beds,1 bath,Rental unit in New York,1 bedroom
207,Laura,Manhattan,Harlem,40.81319,-73.94194,120,30,94,8/28/2023,0.67,1,153,6,4.79,1 bed,1 private bath,Condo in New York,1 bedroom
208,David,Manhattan,West Village,40.73054,-74.00613,100,30,227,1/1/2023,1.62,1,139,1,4.9,1 bed,1 shared bath,Rental unit in New York,1 bedroom
209,Yasemin,Manhattan,SoHo,40.72371,-73.99663,280,30,87,8/20/2023,0.62,1,85,8,4.85,1 bed,1 bath,Rental unit in New York,1 bedroom
210,Alan,Manhattan,Upper West Side,40.79903,-73.96297,103,30,12,8/16/2023,0.31,2,265,4,4.67,1 bed,1 bath,Rental unit in New York,1 bedroom
211,Ryan,Brooklyn,Williamsburg,40.71116,-73.94721,295,30,217,10/21/2023,1.55,2,61,23,4.86,3 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
212,Agnes,Manhattan,Harlem,40.8239,-73.94242,44,30,659,10/14/2023,4.73,2,235,40,4.65,2 beds,1.5 baths,Rental unit in New York,1 bedroom
213,Nicole Lavonne,Brooklyn,Bedford-Stuyvesant,40.68928,-73.93908,200,30,295,1/3/2023,2.14,1,291,3,4.81,2 beds,1 bath,Home in Brooklyn,2 bedrooms
214,Kristine,Manhattan,Two Bridges,40.71101,-73.99518,125,30,75,10/28/2023,0.54,1,86,11,4.86,1 bed,1 shared bath,Rental unit in New York,1 bedroom
215,Rj,Manhattan,Lower East Side,40.71937,-73.98387,311,50,40,4/29/2023,0.31,1,34,2,4.78,1 bed,1 bath,Rental unit in New York,1 bedroom
216,Grisel,Manhattan,Hell's Kitchen,40.76119,-73.99225,100,30,22,10/16/2023,0.16,3,353,2,4.95,1 bed,0 shared baths,Rental unit in New York,1 bedroom
217,Ana,Brooklyn,Crown Heights,40.67432,-73.94744,102,30,127,9/1/2023,0.93,3,364,2,4.53,1 bed,1 shared bath,Home in Brooklyn,1 bedroom
218,Edward,Brooklyn,Bedford-Stuyvesant,40.68476,-73.94867,49,30,26,10/1/2023,0.19,4,352,2,4.74,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
219,N.Y.,Manhattan,Harlem,40.81273,-73.95091,149,30,187,8/19/2023,1.35,2,57,10,4.86,1 bed,1 shared bath,Rental unit in New York,1 bedroom
220,Sheri,Manhattan,Harlem,40.82274,-73.95408,175,30,7,7/31/2023,0.05,2,346,4,5,3 beds,1 shared bath,Condo in New York,2 bedrooms
221,Edel,Manhattan,Two Bridges,40.71271,-73.99534,111,30,48,8/1/2023,0.35,2,69,3,4.84,1 bed,1.5 shared baths,Rental unit in New York,1 bedroom
222,Ada,Brooklyn,Prospect Heights,40.67379,-73.96623,128,30,228,11/25/2023,1.77,1,363,36,4.83,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
223,Reguina,Brooklyn,Williamsburg,40.71493,-73.96106,125,30,219,11/12/2023,1.58,1,338,34,4.98,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
224,Jeffrey,Brooklyn,Gravesend,40.60402,-73.97038,126,30,112,9/1/2023,0.87,2,365,3,4.84,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
225,Tom & Jennifer,Manhattan,SoHo,40.72215,-74.00416,196,30,23,4/9/2023,0.17,1,334,3,4.78,1 bed,1.5 baths,Loft in New York,2 bedrooms
226,Eric,Brooklyn,Prospect Heights,40.67707,-73.97062,304,30,84,7/18/2023,0.6,1,358,2,4.81,3 beds,1 bath,Condo in Brooklyn,2 bedrooms
227,Genevieve,Manhattan,Harlem,40.80009,-73.95107,110,30,27,3/17/2023,0.22,1,113,4,4.6,1 bed,1 bath,Rental unit in New York,1 bedroom
228,Edward,Brooklyn,Bedford-Stuyvesant,40.68567,-73.94865,49,30,62,9/8/2023,0.45,4,362,4,4.58,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
229,Rick,Manhattan,Lower East Side,40.7211,-73.98271,225,30,41,8/12/2023,0.3,1,21,9,4.71,1 bed,1 bath,Rental unit in New York,1 bedroom
230,Tiffany,Brooklyn,Boerum Hill,40.68607,-73.98074,320,30,249,10/20/2023,1.79,1,27,23,4.89,4 beds,2 baths,Rental unit in Brooklyn,3 bedrooms
231,Kathleen R.,Brooklyn,Prospect Heights,40.67954,-73.97247,95,30,96,12/2/2023,0.71,3,354,4,4.73,1 bed,1.5 shared baths,Home in Brooklyn,1 bedroom
232,Kim,Manhattan,East Harlem,40.80728,-73.9388,69,30,45,9/2/2023,0.57,1,225,2,4.69,2 beds,1 shared bath,Rental unit in New York,1 bedroom
233,Wendy,Manhattan,Upper East Side,40.77712,-73.94755,130,30,9,11/12/2023,0.14,1,257,3,4.78,1 bed,1 shared bath,Rental unit in New York,1 bedroom
234,Heather,Manhattan,Hell's Kitchen,40.76114,-73.99369,149,30,70,11/18/2023,0.51,1,101,9,4.91,1 bed,1 bath,Rental unit in New York,Studio
235,Sing,Brooklyn,Sunset Park,40.66272,-73.98913,52,30,14,10/4/2023,0.11,1,216,4,4.64,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
236,Eric,Manhattan,East Harlem,40.79046,-73.94576,120,30,245,11/4/2023,1.78,1,115,24,4.73,1 bed,1 bath,Rental unit in New York,Studio
237,Larah,Manhattan,Harlem,40.80617,-73.95132,294,30,325,11/6/2023,2.43,1,162,26,4.85,4 beds,1 bath,Rental unit in New York,1 bedroom
238,Sandy,Manhattan,Upper West Side,40.78105,-73.97858,115,30,94,8/12/2023,0.68,1,251,1,4.77,1 bed,1 shared bath,Rental unit in New York,2 bedrooms
239,Hakim,Manhattan,Harlem,40.82875,-73.93969,66,30,30,7/23/2023,1.84,2,365,14,5,1 bed,1 shared bath,Rental unit in New York,1 bedroom
240,Thomas,Manhattan,West Village,40.73328,-74.00069,281,30,113,8/12/2023,0.83,5,358,1,4.75,1 bed,1 bath,Rental unit in New York,1 bedroom
241,Olivia,Manhattan,Nolita,40.72339,-73.99459,375,30,99,9/23/2023,0.72,1,145,2,4.87,2 beds,1 bath,Condo in New York,2 bedrooms
242,Fabrizio,Brooklyn,Bushwick,40.70209,-73.91476,55,30,27,11/6/2023,0.22,1,271,3,4.81,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
243,Dave,Manhattan,East Village,40.72934,-73.98433,250,2,324,11/15/2023,2.64,1,288,38,4.72,2 beds,1 bath,Condo in New York,1 bedroom
244,Sharon And Tom,Queens,Ridgewood,40.70873,-73.91732,125,30,151,10/21/2023,1.09,1,260,10,4.74,3 beds,1 bath,Rental unit in Queens,Studio
245,Marvet,Brooklyn,Prospect-Lefferts Gardens,40.66051,-73.95078,76,30,19,6/15/2023,0.14,3,90,1,4.32,1 bed,1 shared bath,Home in Brooklyn,2 bedrooms
246,HaoXiang,Brooklyn,Windsor Terrace,40.66014,-73.98311,59,30,7,11/27/2023,0.1,1,363,2,4.86,1 bed,1.5 shared baths,Rental unit in Brooklyn,1 bedroom
247,Kakuna,Manhattan,Harlem,40.81711,-73.94736,220,3,185,11/20/2023,1.57,2,105,51,4.88,3 beds,1 bath,Rental unit in New York,2 bedrooms
249,Gann,Manhattan,Harlem,40.822964,-73.942474,150,30,64,7/28/2023,0.47,2,62,8,4.88,1 bed,1 private bath,Rental unit in New York,1 bedroom
250,Marina,Staten Island,Tottenville,40.50863,-74.24135,559,30,105,8/28/2023,0.84,1,364,9,4.92,6 beds,4.5 baths,Home in Staten Island,4 bedrooms
251,Vana,Manhattan,East Village,40.72369,-73.97849,240,30,137,8/16/2023,1.0,1,179,14,4.9,2 beds,1 private bath,Rental unit in New York,2 bedrooms
252,Grace,Manhattan,Inwood,40.87231,-73.9176,80,30,340,9/29/2023,2.5,1,138,14,4.8,1 bed,1 shared bath,Condo in New York,1 bedroom
253,Jason,Brooklyn,Bushwick,40.70783,-73.92071,90,90,61,5/11/2023,0.46,1,173,2,4.93,1 bed,1 bath,Loft in Brooklyn,1 bedroom
254,Brian,Manhattan,Hell's Kitchen,40.76242,-73.99217,100,30,406,11/1/2023,2.97,1,169,46,4.88,1 bed,1 shared bath,Rental unit in New York,1 bedroom
255,Seith,Manhattan,East Village,40.72648,-73.98712,389,30,413,11/6/2023,2.99,2,365,50,4.39,4 beds,1 bath,Condo in NEW YORK,2 bedrooms
256,Daniel,Queens,Astoria,40.75702,-73.91682,125,30,125,7/29/2023,0.91,2,335,2,4.62,1 bed,1 shared bath,Rental unit in Queens,1 bedroom
257,Noemie,Brooklyn,Crown Heights,40.67543,-73.93971,117,30,320,10/9/2023,2.31,1,248,14,4.79,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
258,George Steven,Manhattan,Murray Hill,40.74793,-73.97887,159,30,30,9/5/2023,0.25,8,72,3,4.93,1 bed,1 bath,Rental unit in New York,1 bedroom
259,George Steven,Manhattan,Murray Hill,40.74793,-73.97887,159,30,22,11/11/2023,0.16,8,66,7,5,2 beds,1 bath,Rental unit in New York,1 bedroom
260,Lisa,Manhattan,SoHo,40.72493744,-73.99619293,625,30,98,11/24/2023,0.75,1,68,12,4.95,2 beds,2 baths,Loft in New York,2 bedrooms
261,Simme,Brooklyn,Bedford-Stuyvesant,40.68669,-73.94198,135,30,65,10/31/2023,0.5,1,356,13,4.66,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
262,Manon,Brooklyn,Kensington,40.6465,-73.97959,83,30,75,9/24/2023,0.56,1,337,8,4.84,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
263,Yves,Brooklyn,Park Slope,40.68169,-73.9769,549,30,280,11/30/2023,2.07,1,309,31,4.92,7 beds,3.5 baths,Rental unit in Brooklyn,5 bedrooms
264,Stephanie,Brooklyn,Williamsburg,40.72052,-73.95824,300,30,10,9/9/2023,0.07,1,19,2,4.44,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
265,Mariko,Manhattan,Upper West Side,40.78184,-73.98219,185,30,148,10/2/2023,1.09,2,232,6,4.48,2 beds,1 bath,Rental unit in New York,2 bedrooms
266,Eric,Brooklyn,Bedford-Stuyvesant,40.69149,-73.93662,170,30,344,11/2/2023,2.52,1,221,27,4.92,1 bed,1 private bath,Guest suite in Brooklyn,1 bedroom
267,Valentin,Brooklyn,Williamsburg,40.71084,-73.96205,217,31,160,9/4/2023,1.39,1,69,23,4.53,2 beds,1 bath,Loft in Brooklyn,2 bedrooms
268,Gvantsa,Manhattan,Lower East Side,40.71879,-73.99176,119,30,126,11/5/2023,0.92,1,267,5,4.62,1 bed,1 bath,Rental unit in New York,Studio
269,Paul,Queens,Woodside,40.74836,-73.89686,95,30,92,9/9/2023,1.01,3,334,3,4.73,6 beds,1 bath,Rental unit in Queens,2 bedrooms
270,Marianne,Staten Island,Concord,40.60066,-74.08902,68,30,64,6/30/2023,0.47,3,362,2,4.77,1 bed,1 shared bath,Home in Staten Island,1 bedroom
271,Katherine,Brooklyn,Sunset Park,40.66044,-73.99279,80,30,33,8/13/2023,0.33,3,211,4,4.85,1 bed,1 bath,Rental unit in Brooklyn,Studio
272,Ari,Manhattan,East Village,40.72544,-73.9805,999,30,140,9/5/2023,1.04,1,90,10,4.87,3 beds,1 private bath,Condo in New York,2 bedrooms
273,"Isaac, Linda & Noelia",Brooklyn,Sunset Park,40.65043,-74.00387,53,30,46,8/20/2023,0.34,4,185,1,4.5,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
274,Jeff,Manhattan,Harlem,40.80749,-73.94853,249,30,10,10/29/2023,0.08,1,243,3,4.8,2 beds,1.5 baths,Condo in New York,2 bedrooms
275,Evelyn,Manhattan,West Village,40.73277,-74.00267,360,1,338,11/10/2023,2.52,5,73,43,4.71,2 beds,1 bath,Rental unit in New York,1 bedroom
276,Barry,Manhattan,East Village,40.7288,-73.98731,220,30,89,8/4/2023,0.69,1,365,1,4.78,2 beds,1 bath,Condo in New York,2 bedrooms
277,Alison,Brooklyn,Clinton Hill,40.68375,-73.96142,150,30,579,9/1/2023,4.34,2,90,28,4.8,2 beds,1 private bath,Townhouse in Brooklyn,1 bedroom
278,Benjamin,Brooklyn,Williamsburg,40.71503,-73.94944,95,30,166,7/1/2023,1.23,1,68,3,4.71,2 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
279,Lauren,Manhattan,Harlem,40.82293,-73.94954,245,30,216,9/11/2023,1.75,1,354,61,4.89,2 beds,1 private bath,Townhouse in New York,1 bedroom
280,Paul,Queens,Woodside,40.7484,-73.89892,95,30,75,11/17/2023,0.86,3,365,5,4.8,6 beds,1 bath,Rental unit in Queens,1 bedroom
281,Paul,Queens,Woodside,40.74874,-73.89746,95,30,72,8/9/2023,0.53,3,182,2,4.54,7 beds,1 bath,Rental unit in Queens,2 bedrooms
282,Rita,Brooklyn,Prospect Heights,40.67617,-73.96849,225,30,24,10/5/2023,0.19,1,172,1,5,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
283,Florencia,Brooklyn,Williamsburg,40.71116,-73.94989,55,30,48,9/30/2023,0.52,3,1,8,4.96,2 beds,1 shared bath,Loft in Brooklyn,1 bedroom
284,Damian,Manhattan,East Village,40.72585,-73.98542,90,30,95,5/31/2023,0.7,1,45,4,4.71,1 bed,1 bath,Rental unit in New York,1 bedroom
285,Jimena,Brooklyn,Kensington,40.64554,-73.97543,150,30,34,3/31/2023,0.28,2,363,3,4.59,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
286,Linna,Manhattan,Upper West Side,40.77149,-73.98071,250,30,60,5/31/2023,0.45,1,278,3,4.57,2 beds,1 bath,Condo in New York,1 bedroom
287,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,342,1,120,11/5/2023,0.93,30,10,12,4.77,2 beds,1 bath,Rental unit in Brooklyn,1 bedroom
289,Rachel,Brooklyn,Flatbush,40.65413,-73.95997,82,30,73,1/31/2023,0.56,2,243,1,4.76,2 beds,1 shared bath,Rental unit in Brooklyn,1 bedroom
290,Brian,Queens,Ditmars Steinway,40.77559,-73.9072,225,30,12,9/10/2023,0.83,1,362,8,5,1 bed,1 bath,Condo in Queens,1 bedroom
291,Dawn,Brooklyn,Greenpoint,40.72516,-73.95004,54,30,44,10/5/2023,0.33,2,267,4,4.23,1 bed,1 bath,Rental unit in Brooklyn,1 bedroom
292,Martin,Manhattan,Harlem,40.82395,-73.94926,122,30,253,11/12/2023,1.89,1,331,33,4.69,2 beds,1 bath,Rental unit in New York,1 bedroom
293,Izi,Manhattan,Upper West Side,40.78615,-73.97454,189,30,17,9/1/2023,0.15,8,363,2,5,2 beds,1 bath,Rental unit in New York,1 bedroom
294,Izi,Manhattan,Upper West Side,40.78552,-73.97435,190,30,19,6/11/2023,0.14,8,202,1,4.89,2 beds,1 bath,Rental unit in New York,1 bedroom
295,Paulo,Queens,Astoria,40.76797,-73.91625,100,30,77,11/6/2023,0.57,2,178,6,4.92,1 bed,1 shared bath,Rental unit in Queens,1 bedroom
296,Sigfus,Brooklyn,Williamsburg,40.7072505,-73.9399195,119,3,56,11/22/2023,0.42,3,53,23,4.95,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
297,Leah,Brooklyn,Greenpoint,40.73091,-73.95187,109,30,95,10/7/2023,0.71,1,283,14,4.95,1 bed,1 shared bath,Loft in Brooklyn,1 bedroom
298,Boris,Manhattan,Chinatown,40.7156,-73.9915,500,30,82,9/5/2023,0.61,1,269,10,4.91,2 beds,1 bath,Rental unit in New York,2 bedrooms
299,Christine,Manhattan,Upper West Side,40.79824,-73.96976,120,30,69,6/23/2023,0.52,2,94,2,4.83,1 bed,1 shared bath,Rental unit in New York,1 bedroom
300,Karin,Manhattan,East Village,40.73171,-73.98615,108,30,91,8/13/2023,0.72,2,332,9,4.55,1 bed,1 shared bath,Rental unit in New York,1 bedroom
301,Nicole,Brooklyn,Bedford-Stuyvesant,40.68023419,-73.93856346,150,3,166,11/17/2023,1.28,1,305,22,4.48,1 bed,1 bath,Home in Brooklyn,1 bedroom
302,Mark,Brooklyn,Bedford-Stuyvesant,40.68524,-73.93604,110,30,268,11/15/2023,1.98,1,343,7,4.8,3 beds,1 bath,Rental unit in Brooklyn,2 bedrooms
303,Tristan,Manhattan,Washington Heights,40.85551,-73.93459,67,30,25,11/16/2023,0.2,1,296,4,4.68,1 bed,1 bath,Rental unit in New York,1 bedroom
304,Christian & Carla,Bronx,Allerton,40.8666,-73.85532,85,30,47,9/2/2023,0.35,2,180,3,4.7,1 bed,1.5 shared baths,Townhouse in Bronx,1 bedroom
305,Ana,Brooklyn,Crown Heights,40.67265,-73.94803,109,30,81,5/31/2023,0.61,3,66,2,4.48,2 beds,1 shared bath,Home in Brooklyn,1 bedroom
306,Pasha,Queens,Astoria,40.76252,-73.91735,133,30,44,5/21/2023,0.33,1,342,3,4.84,1 bed,1 bath,Rental unit in Long Island City,1 bedroom
307,Annie-Dan,Manhattan,Greenwich Village,40.72823,-74.00126,325,30,97,11/16/2023,0.75,1,353,3,4.89,2 beds,1 bath,Rental unit in New York,1 bedroom
308,Joao Lucas,Queens,Astoria,40.76592,-73.92707,90,30,129,9/23/2023,0.96,1,89,23,4.93,1 bed,1 private bath,Rental unit in Queens,1 bedroom
309,Clay,Brooklyn,Bushwick,40.70024,-73.92833,149,30,81,4/3/2023,0.7,2,27,5,4.86,1 bed,1 private bath,Rental unit in Brooklyn,1 bedroom
310,Celeste,Queens,Flushing,40.75857,-73.81008,74,30,29,2/28/2023,0.22,3,363,1,4.48,1 bed,1 shared bath,Home in Queens,1 bedroom
311,Mariko,Manhattan,Upper West Side,40.78349,-73.98221,375,30,16,7/5/2023,0.12,2,289,1,4.73,1 bed,1 bath,Loft in New York,1 bedroom
312,Jackie,Manhattan,Upper West Side,40.7988,-73.96113,100,30,18,8/6/2023,0.14,1,177,2,4.71,1 bed,2 baths,Rental unit in New York,1 bedroom
313,Lupi,Manhattan,Harlem,40.82106,-73.95605,110,30,104,11/5/2023,0.8,4,86,14,4.57,1 bed,1 shared bath,Condo in New York,1 bedroom
314,Lupi,Manhattan,Harlem,40.82032,-73.95405,99,30,85,8/22/2023,0.64,4,90,9,4.6,1 bed,1 shared bath,Condo in New York,1 bedroom
315,Christopher,Manhattan,East Harlem,40.79016,-73.95092,50,30,146,9/25/2023,1.17,1,363,9,4.63,1 bed,1 shared bath,Rental unit in New York,1 bedroom
316,Jenny,Brooklyn,Flatbush,40.641,-73.95712,51,30,76,8/15/2023,0.69,1,232,2,4.91,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
317,Lupi,Manhattan,Harlem,40.82097,-73.95412,99,30,65,8/20/2023,0.52,4,86,10,4.68,1 bed,1 shared bath,Condo in New York,1 bedroom
318,Susan,Brooklyn,Williamsburg,40.71006507,-73.96042915,145,4,114,11/9/2023,0.87,1,158,10,4.77,1 bed,1 shared bath,Loft in Brooklyn,1 bedroom
319,Lupi,Manhattan,Harlem,40.82261,-73.95533,95,30,69,9/11/2023,0.58,4,90,8,4.59,1 bed,1 shared bath,Condo in New York,1 bedroom
320,Norman,Queens,Bayside,40.7565,-73.7616,251,30,81,5/9/2023,0.65,1,365,1,4.59,3 beds,2 baths,Home in Queens,3 bedrooms
321,Autumn,Brooklyn,Clinton Hill,40.69485,-73.96223,82,30,175,10/9/2023,1.32,3,365,19,4.75,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
322,Paris,Manhattan,Upper West Side,40.79543,-73.97359,110,30,91,9/5/2023,0.68,2,365,7,4.41,1 bed,1 shared bath,Rental unit in New York,1 bedroom
323,Kyla,Brooklyn,Bushwick,40.69405,-73.91107,40,30,100,10/4/2023,0.74,4,216,6,4.88,1 bed,2.5 shared baths,Townhouse in Brooklyn,1 bedroom
324,Lord Daniel,Brooklyn,Bedford-Stuyvesant,40.68582,-73.95151,45,30,84,9/5/2023,0.64,6,88,14,4.79,1 bed,1 shared bath,Home in Brooklyn,1 bedroom
325,Keithan,Brooklyn,Bedford-Stuyvesant,40.68471,-73.94073,40,30,86,11/10/2023,1.31,2,310,6,4.84,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
