,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,ratings,beds,bathroom_type,property,room_type
8643,Marcia,Queens,Rosedale,40.65212,-73.73242,74,30,26,6/19/2023,1.32,2,90,8,4.88,1 bed,1 bath,Home in Queens,Studio
8644,Frederick,Bronx,Fordham,40.85598,-73.89895,95,30,25,8/20/2023,1.9,1,270,22,5,1 bed,1 bath,Loft in Bronx,1 bedroom
8645,Eli,Brooklyn,Bushwick,40.70514,-73.92187,71,30,22,9/5/2023,1.11,2,52,13,5,1 bed,1.5 shared baths,Townhouse in Brooklyn,1 bedroom
8646,Alberto Fernando,Manhattan,Midtown,40.74813,-73.98685,182,1,37,11/26/2023,1.87,4,296,19,4.59,2 beds,1 bath,Rental unit in New York,Studio
8647,Rachel,Brooklyn,Bedford-Stuyvesant,40.68119,-73.91066,134,2,50,11/5/2023,2.57,1,341,31,4.86,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
8648,Natalie,Manhattan,Hell's Kitchen,40.76115,-73.99266,178,30,83,11/18/2023,4.35,17,240,53,4.75,2 beds,1 bath,Condo in New York,2 bedrooms
8649,Britton,Brooklyn,Greenpoint,40.72273,-73.94941,220,30,79,11/12/2023,4.07,1,180,47,4.78,1 bed,1.5 baths,Rental unit in Brooklyn,1 bedroom
8650,Shawn,Queens,Edgemere,40.59522,-73.77168,290,30,17,8/5/2023,0.85,3,365,6,4.65,2 beds,2 baths,Home in Queens,1 bedroom
8651,Jalyn,Manhattan,Harlem,40.80671422,-73.95125009,215,30,5,9/4/2023,1.24,1,254,5,4.8,1 bed,1 bath,Rental unit in New York,1 bedroom
8652,Shawn,Queens,Edgemere,40.596,-73.77114,380,30,13,8/13/2023,0.65,3,365,7,4.69,3 beds,2 baths,Home in Queens,2 bedrooms
8653,Khalid,Queens,Long Island City,40.75712,-73.93279,81,30,21,1/1/2023,1.06,3,89,4,4.81,1 bed,1.5 shared baths,Rental unit in Queens,1 bedroom
8654,Jessica,Brooklyn,Park Slope,40.68383,-73.97872,220,2,36,11/13/2023,2.99,1,343,36,4.78,2 beds,1 private bath,Home in Brooklyn,1 bedroom
8655,Sonia,Brooklyn,Sunset Park,40.644081,-74.013184,97,30,23,9/25/2023,1.36,1,365,14,4.48,1 bed,1 shared bath,Rental unit in Brooklyn,1 bedroom
8658,Shully'S,Bronx,Woodlawn,40.89831,-73.86433,149,30,25,9/22/2023,1.26,5,365,13,4.92,2 beds,1 bath,Rental unit in Bronx,1 bedroom
8659,Victor,Brooklyn,Williamsburg,40.70667,-73.93681,111,30,10,1/22/2023,0.53,5,183,3,4.3,1 bed,1 shared bath,Loft in Brooklyn,5 bedrooms
8660,Kai,Brooklyn,Prospect-Lefferts Gardens,40.65836,-73.95073,170,30,51,11/11/2023,2.96,2,111,36,4.84,3 beds,2 baths,Home in Brooklyn,3 bedrooms
